method,trial,generation,val
CMA-ES,0,0,0.8818
CMA-ES,0,1,0.8564
CMA-ES,0,2,0.8217
CMA-ES,0,3,0.8217
CMA-ES,0,4,0.7696000000000001
CMAwM,0,0,0.8483
CMAwM,0,1,0.7767
CMAwM,0,2,0.7174
CMAwM,0,3,0.7174
CMAwM,0,4,0.7174
CMA-ES,1,0,0.8825000000000001
CMA-ES,1,1,0.8825000000000001
CMA-ES,1,2,0.8429
CMA-ES,1,3,0.8429
CMA-ES,1,4,0.8429
CMAwM,1,0,0.8768
CMAwM,1,1,0.8248
CMAwM,1,2,0.8248
CMAwM,1,3,0.8248
CMAwM,1,4,0.8248
CMA-ES,2,0,0.8305
CMA-ES,2,1,0.8305
CMA-ES,2,2,0.7645
CMA-ES,2,3,0.6998
CMA-ES,2,4,0.6998
CMAwM,2,0,0.8528
CMAwM,2,1,0.7888999999999999
CMAwM,2,2,0.7888999999999999
CMAwM,2,3,0.745
CMAwM,2,4,0.745
