method,trial,generation,val
CMA-ES,0,0,0.8037
CMA-ES,0,1,0.6944
CMA-ES,0,2,0.6944
CMA-ES,0,3,0.6944
CMA-ES,0,4,0.6944
CMAwM,0,0,0.878
CMAwM,0,1,0.7686999999999999
CMAwM,0,2,0.646
CMAwM,0,3,0.646
CMAwM,0,4,0.646
CMA-ES,1,0,0.8210999999999999
CMA-ES,1,1,0.6736
CMA-ES,1,2,0.6401
CMA-ES,1,3,0.6401
CMA-ES,1,4,0.6401
CMAwM,1,0,0.613
CMAwM,1,1,0.613
CMAwM,1,2,0.613
CMAwM,1,3,0.613
CMAwM,1,4,0.613
CMA-ES,2,0,0.8613
CMA-ES,2,1,0.5781000000000001
CMA-ES,2,2,0.5781000000000001
CMA-ES,2,3,0.5781000000000001
CMA-ES,2,4,0.5781000000000001
CMAwM,2,0,0.6247
CMAwM,2,1,0.6247
CMAwM,2,2,0.6247
CMAwM,2,3,0.6247
CMAwM,2,4,0.6247
