method,trial,generation,val
CMA-ES,0,0,0.7495
CMA-ES,0,1,0.7495
CMA-ES,0,2,0.7495
CMA-ES,0,3,0.7495
CMA-ES,0,4,0.7495
CMAwM,0,0,0.8624
CMAwM,0,1,0.8624
CMAwM,0,2,0.8110999999999999
CMAwM,0,3,0.8110999999999999
CMAwM,0,4,0.8110999999999999
CMA-ES,1,0,0.8492
CMA-ES,1,1,0.8276
CMA-ES,1,2,0.8276
CMA-ES,1,3,0.7842
CMA-ES,1,4,0.7646
CMAwM,1,0,0.8533999999999999
CMAwM,1,1,0.8121
CMAwM,1,2,0.7589
CMAwM,1,3,0.7331
CMAwM,1,4,0.7331
CMA-ES,2,0,0.7362
CMA-ES,2,1,0.7362
CMA-ES,2,2,0.7362
CMA-ES,2,3,0.7362
CMA-ES,2,4,0.7362
CMAwM,2,0,0.8112
CMAwM,2,1,0.8112
CMAwM,2,2,0.7323999999999999
CMAwM,2,3,0.7323999999999999
CMAwM,2,4,0.7323999999999999
