method,trial,generation,val
CMA-ES,0,0,0.4881
CMA-ES,0,1,0.4881
CMA-ES,0,2,0.4881
CMA-ES,0,3,0.4881
CMA-ES,0,4,0.4881
CMAwM,0,0,0.3571
CMAwM,0,1,0.3571
CMAwM,0,2,0.3571
CMAwM,0,3,0.3571
CMAwM,0,4,0.3571
CMA-ES,1,0,0.3811
CMA-ES,1,1,0.3811
CMA-ES,1,2,0.3811
CMA-ES,1,3,0.3811
CMA-ES,1,4,0.3811
CMAwM,1,0,0.5862
CMAwM,1,1,0.5862
CMAwM,1,2,0.5862
CMAwM,1,3,0.5275000000000001
CMAwM,1,4,0.45520000000000005
CMA-ES,2,0,0.45820000000000005
CMA-ES,2,1,0.3396
CMA-ES,2,2,0.3396
CMA-ES,2,3,0.3396
CMA-ES,2,4,0.3396
CMAwM,2,0,0.49550000000000005
CMAwM,2,1,0.4596
CMAwM,2,2,0.4596
CMAwM,2,3,0.4596
CMAwM,2,4,0.4596
